    DATES,TOTAL DOSE GIVEN, DOSE1 GIVEN, DOSE2 GIVEN,Vaccinated people from age group 18-44,Vaccinated people from age group 45-60,Vaccinated people from age group above 60,TOTAL VACCINATED PEOPLE,Registerd For Vaccine bw age 18-44,Registerd For Vaccine bw age 45-60,Registerd For Vaccine above age 60,Total Vaccination Registration
1/16/2021,588571,814869,156550,73489,1259971,1116566,2080106,3075361.00,2589503.00,911663.00,9260203.00
1/18/2021,673142,809661,154670,139958,1250867,1113546,2421642,3189492.00,2187345.00,889774.00,8896933.00
1/19/2021,527065,1210643,154670,430763,1195105,1113546,2506755,2630972.00,2353755.00,889774.00,8627844.00
1/21/2021,288729,1305421,154670,580320,1161615,1113546,2600542,2269784.00,2071782.00,861916.00,8183847.00
1/22/2021,173406,1385617,154670,526313,1120323,982763,2117861,2472402.00,2816006.00,884563.00,8493300.00
1/24/2021,58082,1357149,130817,417425,1123899,1107505,1851641,2630972.00,2390455.00,873192.00,8533663.00
1/25/2021,281041,1422070,154670,484770,1145358,1113546,1535275,2833590.00,2392416.00,853293.00,8533663.00
1/26/2021,434806,1422070,154670,484770,1158689,1113546,1331980,2701448.00,2002445.00,857367.00,8547117.00
1/28/2021,350235,1407489,154670,472307,1167793,1113546,1323848,3018589.00,2039425.00,886458.00,8923842.00
1/29/2021,219535,1349164,156550,567857,1154137,942894,1126245,3159540.00,2398953.00,889774.00,9179476.00
1/31/2021,65770,1265496,142611,775575,1113075,1110525,697699,3159540.00,2479487.00,889774.00,9779752.00
2/1/2021,127276,1516848,154670,713259,1135116,1113546,543194,3206104.00,2298285.00,945338.00,9650382.00
2/3/2021,35017,1713694,154670,788038,1102927,1113546,339899,3635251.00,2287499.00,889774.00,9677291.00
2/4/2021,134125,1443942,154670,908514,1085383,1113546,445613,3635251.00,2298285.00,889774.00,9677291.00
2/5/2021,426278,1891792,156550,1008218,1040110,1043926,632644,3415014.00,2427715.00,891196.00,9583110.00
2/7/2021,472408,2087701,229844,1161930,1118249,1116566,892862,3582394.00,2356529.00,930496.00,9488929.00
2/8/2021,410902,2092804,269311,1033145,1133091,1113546,1128685,3600013.00,2321818.00,889774.00,9381293.00
2/10/2021,326331,1895958,402745,991601,1037986,1113546,1153080,3538347.00,2379179.00,889774.00,9327475.00
2/11/2021,103372,1149402,530540,954212,1044890,1113546,1039235,3053826.00,2339467.00,958568.00,9152567.00
2/13/2021,11952,674785,699682,933440,1060594,1179994,1006707,2983351.00,2331623.00,889774.00,8816206.00
2/14/2021,11952,904803,854791,1033145,866604,1113546,1075557,2417028.00,2427715.00,889774.00,8520208.00
2/15/2021,11952,897148,1122536,983292,799083,1113546,1132750,2146452.00,1974710.00,889774.00,8377015.00
2/17/2021,11113,860695,1311456,1087151,769040,1113546,632644,1935025.00,2168855.00,890382.00,8400800.00
2/18/2021,564667,860695,1394008,924993,736494,1113546,657040,2313832.00,2136497.00,889774.00,8412573.00
2/20/2021,964456,829850,1543690,958966,686422,1080322,426957,2727876.00,2082568.00,889774.00,8695116.00
2/21/2021,1248922,1120154,1702034,1183173,531086,899098,9769,2904066.00,2304168.00,886458.00,8982834.00
2/22/2021,1295051,1392908,1589367,744954,522551,648406,7003,2939303.00,2357117.00,918398.00,8870024.00
2/24/2021,1341181,1866796,1388514,590706,563519,218217,1384044,3036207.00,2300246.00,889774.00,8843115.00
2/25/2021,1364245,2216744,1210709,413938,580589,161288,2148434,2956922.00,1948824.00,889774.00,8775843.00
2/27/2021,1971618,2727085,1005487,476461,611314,701495,3073427,2683829.00,2254161.00,873192.00,8382300.00
2/28/2021,2736599,3419691,1012218,414700,603348,1285368,4197650,2815971.00,2221804.00,857273.00,8641298.00
3/2/2021,3709163,3755058,977534,409991,535638,1821665,5409289,2860018.00,2198271.00,853293.00,8641298.00
3/3/2021,4907250,4498698,1117525,463998,447443,2596998,7043783,2860018.00,2159795.00,853293.00,8600935.00
3/5/2021,5808057,5341976,1362209,416223,295635,4102977,7653669,2622163.00,2159050.00,853293.00,8278028.00
